grid_id,c_bar,c_hat,r_alignment,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,poi_cnt_life_scarcity_abs,poi_cnt_transport_scarcity_abs,poi_cnt_economy_scarcity_abs,poi_cnt_public_service_scarcity_abs,poi_cnt_life_scarcity_q,poi_cnt_transport_scarcity_q,poi_cnt_economy_scarcity_q,poi_cnt_public_service_scarcity_q,priority_abs_1,priority_abs_2,priority_q_1,priority_q_2,priority_q_1_scarcity_score,gate_r_ok,gate_weeks_ok,gate_cbar_ok,gate_scarcity_ok,is_actionable,action_tier,priority_reason
3257_47012,59172.77631710737,29783.51466251312,29389.261654594247,13,0.0,0.0,1.0,0.0,0.325,0.475,0.875,0.525,0.675,0.525,0.125,0.475,economy,public_service,life,transport,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3319_46884,48258.368113982375,19636.53156154551,28621.836552436864,13,0.0,0.0,0.0,0.0,0.325,0.475,0.4,0.525,0.675,0.525,0.6,0.475,public_service,transport,life,economy,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3318_46889,46587.32236578526,23518.5753806508,23068.746985134458,13,1.0,0.0,0.0,0.0,0.775,0.475,0.4,0.525,0.22499999999999998,0.525,0.6,0.475,life,public_service,economy,transport,0.6,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3310_46891,41078.07314202724,19636.53156154551,21441.54158048173,13,0.0,0.0,0.0,0.0,0.325,0.475,0.4,0.525,0.675,0.525,0.6,0.475,public_service,transport,life,economy,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3311_46880,50675.62319711538,29783.51466251312,20892.108534602263,13,0.0,0.0,1.0,0.0,0.325,0.475,0.875,0.525,0.675,0.525,0.125,0.475,economy,public_service,life,transport,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3319_46883,71420.89938902244,50579.4188192878,20841.48056973464,13,2.0,0.0,2.0,0.0,0.95,0.475,1.0,0.525,0.050000000000000044,0.525,0.0,0.475,economy,life,transport,public_service,0.525,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3054_46753,31152.861666165867,19636.53156154551,11516.330104620356,13,0.0,0.0,0.0,0.0,0.325,0.475,0.4,0.525,0.675,0.525,0.6,0.475,public_service,transport,life,economy,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3053_46755,38200.27233573718,29783.51466251312,8416.75767322406,13,0.0,0.0,1.0,0.0,0.325,0.475,0.875,0.525,0.675,0.525,0.125,0.475,economy,public_service,life,transport,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3057_46762,30716.58090444712,23518.5753806508,7198.005523796317,13,1.0,0.0,0.0,0.0,0.775,0.475,0.4,0.525,0.22499999999999998,0.525,0.6,0.475,life,public_service,economy,transport,0.6,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
3172_46989,26429.106921073715,19636.53156154551,6792.575359528204,13,0.0,0.0,0.0,0.0,0.325,0.475,0.4,0.525,0.675,0.525,0.6,0.475,public_service,transport,life,economy,0.675,True,True,True,False,False,tier2_watchlist,high mismatch + within-high-group quantile scarcity (recommended)
