grid_id,c_bar,c_hat,r_alignment,n_weeks,poi_cnt_life,poi_cnt_transport,poi_cnt_economy,poi_cnt_public_service,priority_abs_1,priority_abs_2,priority_q_1,priority_q_2,priority_q_1_scarcity_score,gate_r_ok,gate_weeks_ok,gate_cbar_ok,gate_scarcity_ok,is_actionable,action_tier,priority_reason
3188_47014,3639.6443300795545,3044.374541510608,595.2697885689463,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3235_47014,3596.092804314704,3044.374541510608,551.7182628040955,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3172_46989,3567.790669751893,3044.374541510608,523.4161282412847,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3223_47015,3495.190522150002,3044.374541510608,450.8159806393937,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3256_47013,4194.013451547908,3767.0945717658183,426.9188797820889,31,1.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3176_47014,3414.488554679118,3044.374541510608,370.1140131685097,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3317_46885,3388.250735189177,3044.374541510608,343.8761936785686,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3208_46975,3339.332399996865,3044.374541510608,294.957858486257,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3129_46988,3324.20891519964,3044.374541510608,279.834373689032,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3289_46886,3269.633217567275,3044.374541510608,225.2586760566669,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3415_46968,3249.408402804433,3044.374541510608,205.0338612938253,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3156_47014,3231.690812280234,3044.374541510608,187.3162707696256,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3365_46984,2958.6923424582037,3044.374541510608,-85.68219905240494,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3375_47015,2888.42265179149,3044.374541510608,-155.9518897191183,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3049_46756,2838.6141826240864,3044.374541510608,-205.76035888652177,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3170_46902,2817.4993909746217,3044.374541510608,-226.87515053598645,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3318_46883,3937.4592166701073,4266.954283670186,-329.4950670000785,31,2.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3223_46832,6118.548405677942,6459.725024161291,-341.17661848334865,31,0.0,0.0,2.0,0.0,economy,public_service,life,transport,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3318_46891,4549.836123102548,4893.721102806051,-343.8849797035027,31,0.0,0.0,1.0,0.0,economy,public_service,life,transport,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3222_46975,2681.397270539359,3044.374541510608,-362.97727097124925,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3126_47008,2664.130158260362,3044.374541510608,-380.2443832502463,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3308_46893,2644.794221035342,3044.374541510608,-399.580320475266,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3311_47014,2631.4306300269527,3044.374541510608,-412.9439114836555,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3288_46928,2573.16946321468,3044.374541510608,-471.20507829592816,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3162_46902,2559.2470304562785,3044.374541510608,-485.1275110543297,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3236_46887,2476.829102136413,3044.374541510608,-567.5454393741952,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3214_46982,2474.787794110757,3044.374541510608,-569.586747399851,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3242_46908,2447.6498028865544,3044.374541510608,-596.7247386240538,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3190_46906,2441.714733824428,3044.374541510608,-602.6598076861801,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3353_46960,2406.446118950199,3044.374541510608,-637.9284225604092,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3312_46884,2404.498001548983,3044.374541510608,-639.876539961625,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3238_46978,2381.6840731646766,3044.374541510608,-662.6904683459315,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3149_47014,2381.423815658887,3044.374541510608,-662.950725851721,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3210_46983,2339.2390130351214,3044.374541510608,-705.1355284754868,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3201_46924,2328.12335099271,3044.374541510608,-716.2511905178981,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3186_46902,3505.3790506453533,4266.954283670186,-761.5752330248324,31,2.0,0.0,0.0,0.0,life,public_service,economy,transport,0.55,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3164_46999,2255.605892736455,3044.374541510608,-788.768648774153,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3240_46979,2254.011436769116,3044.374541510608,-790.363104741492,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3245_46887,2248.2202680803985,3044.374541510608,-796.1542734302097,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
3183_46902,2245.7635815550657,3044.374541510608,-798.6109599555425,31,0.0,0.0,0.0,0.0,public_service,transport,life,economy,0.645,True,True,True,True,True,tier1_actionable,high mismatch + within-high-group quantile scarcity (recommended)
