grid_id,n,MAE,RMSE,MSE,bias
3052_46756,252,13636.800876325462,38270.389047143166,1464622677.8196955,13636.71848434894
3053_46756,252,10835.428589291876,29356.16533928567,861784443.4274774,10835.352715244515
3312_46894,252,7363.866970122978,21222.81767439685,450407990.0406913,7177.245840617017
